query,clicks_desktop,clicks_mobile,clicks_tablet,ctr_desktop,ctr_mobile,ctr_tablet,impressions_desktop,impressions_mobile,impressions_tablet,position_desktop,position_mobile,position_tablet,topic,language,position_gap_desktop_minus_mobile,ctr_gap_mobile_minus_desktop
лид это,0,0,,0.0,0.0,,58,41,,27.55172413793104,20.04878048780488,,leads_automation,ru,7.5,0.0
chat gpt uzb,0,2,,0.0,0.05,,6,40,,4.166666666666666,4.35,,chatgpt_online,uz,-0.18,0.05
chaji piti online,0,0,,0.0,0.0,,4,39,,8.0,5.641025641025641,,chatgpt_online,uz,2.36,0.0
chatgpt uchun prompt,0,1,0.0,,0.0256410256410256,0.0,0,39,1.0,,7.666666666666667,6.0,chatgpt_prompts,uz,,0.0256
chat gpt kirish,0,0,0.0,0.0,0.0,0.0,4,38,1.0,8.25,8.078947368421051,8.0,chatgpt_login,uz,0.17,0.0
чат гпт на узбекском,0,0,,0.0,0.0,,6,38,,3.8333333333333335,4.921052631578947,,chatgpt_online,ru,-1.09,0.0
чати пити узбекча,0,1,,0.0,0.027027027027027,,5,37,,7.4,7.054054054054054,,other,uz,0.35,0.027
seo продвижение сайтов,0,0,0.0,0.0,0.0,0.0,72,36,1.0,54.94444444444444,53.72222222222222,62.0,seo,ru,1.22,0.0
chatgpt skachat qilish,0,0,,0.0,0.0,,1,36,,8.0,8.722222222222221,,chatgpt_download,uz,-0.72,0.0
чат-бот мастер для бизнеса,0,0,0.0,0.0,0.0,0.0,37,35,1.0,55.94594594594594,60.54285714285714,78.0,chatbot_dev,ru,-4.6,0.0
o'zbekistonda biznes uchun ai bot,0,0,,0.0,0.0,,5,35,,3.6,19.914285714285715,,chatbot_dev,uz,-16.31,0.0
чат джипити узбекча,0,4,,0.0,0.1142857142857142,,3,35,,9.0,6.085714285714285,,chatgpt_online,uz,2.91,0.1143
chatgpt o'rnatish,0,1,,0.0,0.0285714285714285,,26,35,,7.961538461538462,5.4,,chatgpt_download,uz,2.56,0.0286
жажипити,0,0,,0.0,0.0,,6,33,,5.833333333333333,3.090909090909091,,chatgpt_online,uz,2.74,0.0
chpt yuklab olish,0,0,,,0.0,,0,33,,,7.272727272727272,,chatgpt_download,uz,,0.0
chatgpt.uz,0,0,,0.0,0.0,,19,30,,5.2631578947368425,4.866666666666667,,chatgpt_online,neutral,0.4,0.0
instagram direct nima,0,0,,0.0,0.0,,1,28,,9.0,6.928571428571429,,instagram_bots,uz,2.07,0.0
chatgpt узбек тилида,0,0,,0.0,0.0,,7,28,,7.714285714285714,7.25,,chatgpt_online,uz,0.46,0.0
чат джипити узбек тилида,0,1,,0.0,0.037037037037037,,35,27,,7.9714285714285715,7.62962962962963,,chatgpt_online,uz,0.34,0.037
чат gpt узбек тилида,0,0,,0.0,0.0,,4,27,,6.0,6.333333333333333,,chatgpt_online,uz,-0.33,0.0
chat chipiti online,0,0,,0.0,0.0,,10,27,,6.1,6.37037037037037,,chatgpt_online,uz,-0.27,0.0
savollarga javoblar beruvchi bot,0,0,,,0.0,,0,26,,,8.346153846153847,,chatbot_dev,uz,,0.0
chatgpt oʻzbekcha tarjimon,0,0,,,0.0,,0,25,,,6.04,,chatgpt_translate,uz,,0.0
chat gpt uzbek,0,0,0.0,0.0,0.0,0.0,5,24,5.0,5.0,5.166666666666667,4.6,chatgpt_online,uz,-0.17,0.0
чат бот на заказ ташкент,0,0,,0.0,0.0,,1,24,,23.0,46.29166666666666,,chatbot_dev,ru,-23.29,0.0
продвижение seo,0,0,0.0,0.0,0.0,0.0,25,23,1.0,63.68,66.34782608695652,61.0,seo,ru,-2.67,0.0
chat gpt yuklab olish,0,0,,0.0,0.0,,3,22,,8.666666666666668,6.818181818181818,,chatgpt_download,uz,1.85,0.0
chatgpt o'zbekcha tarjimon,0,0,,0.0,0.0,,1,22,,10.0,9.454545454545457,,chatgpt_translate,uz,0.55,0.0
лид,0,0,,0.0,0.0,,41,22,,30.97560975609756,24.772727272727277,,leads_automation,ru,6.2,0.0
что такое seo продвижение,0,0,,0.0,0.0,,38,21,,73.3157894736842,65.0952380952381,,seo,ru,8.22,0.0
chatgptga,0,0,,0.0,0.0,,1,21,,9.0,5.904761904761905,,chatgpt_online,neutral,3.1,0.0
разработка чат ботов ташкент,0,0,,0.0,0.0,,2,21,,56.5,41.57142857142857,,chatbot_dev,ru,14.93,0.0
chatgpt uzbek tilida online ko rish,0,0,,0.0,0.0,,1,21,,9.0,7.285714285714286,,chatgpt_online,uz,1.71,0.0
продвижение сайта seo,0,0,0.0,0.0,0.0,0.0,26,21,2.0,56.96153846153846,60.85714285714285,58.5,seo,ru,-3.9,0.0
seo продвижение это,0,0,,0.0,0.0,,23,21,,66.8695652173913,57.095238095238095,,seo,ru,9.77,0.0
гарантированные лиды для рекламы что это,0,0,,,0.0,,0,20,,,39.0,,leads_automation,ru,,0.0
chatgpt oʻrnatish,0,0,,0.0,0.0,,2,19,,8.0,8.631578947368421,,chatgpt_download,uz,-0.63,0.0
чат опт,0,0,0.0,0.0,0.0,0.0,1,19,1.0,6.0,6.105263157894737,5.0,other,ru,-0.11,0.0
telegram bot buyurtma o'zbekiston,0,0,,0.0,0.0,,1,18,,9.0,9.88888888888889,,telegram_bots,uz,-0.89,0.0
чат gpt,0,0,0.0,0.0,0.0,0.0,5,17,1.0,6.0,5.294117647058823,7.0,chatgpt_online,ru,0.71,0.0
jaji piti bot,0,0,,0.0,0.0,,3,17,,6.333333333333333,5.647058823529412,,chatgpt_online,uz,0.69,0.0
сео продвижение это,0,0,,0.0,0.0,,13,16,,69.23076923076923,63.625,,seo,ru,5.61,0.0
таргет нима,0,0,,0.0,0.0,,7,16,,7.857142857142857,8.4375,,digital_marketing,uz,-0.58,0.0
whatsapp бот для бизнеса,0,0,,,0.0,,0,16,,,37.375,,whatsapp_bots,ru,,0.0
chaji piti uzbek tilida,0,0,,,0.0,,0,16,,,8.25,,chatgpt_online,uz,,0.0
продвижение сайтов,0,0,,0.0,0.0,,87,16,,51.367816091954026,60.6875,,seo,ru,-9.32,0.0
продвижение сайта что это,0,0,,0.0,0.0,,7,16,,85.0,68.8125,,seo,ru,16.19,0.0
сео продвижение что это,0,0,,0.0,0.0,,7,16,,82.85714285714286,65.375,,seo,ru,17.48,0.0
чат гпт узб,1,1,,0.2,0.0666666666666666,,5,15,,3.4,3.333333333333333,,chatgpt_online,uz,0.07,-0.1333
chatgpt bepul versiyasi,1,1,,0.3333333333333333,0.0666666666666666,,3,15,,8.0,7.8,,chatgpt_online,uz,0.2,-0.2667
что такое сео продвижение,0,0,,0.0,0.0,,46,15,,64.95652173913044,64.73333333333333,,seo,ru,0.22,0.0
чатгпт онлайн,0,0,,0.0,0.0,,4,14,,6.5,5.714285714285714,,chatgpt_online,ru,0.79,0.0
chatgptni,0,0,,,0.0,,0,14,,,4.857142857142858,,chatgpt_online,neutral,,0.0
чат-бот майстер для бізнесу,0,0,,0.0,0.0,,15,14,,85.26666666666667,86.21428571428571,,irrelevant_ukr,ukr,-0.95,0.0
чачи пити узбекча,0,0,,,0.0,,0,14,,,8.857142857142858,,chatgpt_online,uz,,0.0
продвижение сайта,0,0,,0.0,0.0,,14,14,,34.5,51.71428571428572,,seo,ru,-17.21,0.0
продвижение сайта это,0,0,,0.0,0.0,,6,14,,91.66666666666669,67.35714285714286,,seo,ru,24.31,0.0
bepul chatgpt,0,1,,,0.0714285714285714,,0,14,,,6.642857142857143,,chatgpt_online,uz,,0.0714
что такое лид,0,0,,0.0,0.0,,14,13,,30.285714285714285,27.307692307692307,,leads_automation,ru,2.98,0.0
chachi piti uzb,0,0,,,0.0,,0,13,,,7.384615384615385,,chatgpt_online,uz,,0.0
